Persecution at School	Sukuu Ɔtae
*	*
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 19 ]	[ Kratafa 19 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
Musei Capitolini , Roma	Musei Capitolini , Roma
Young People Ask . . .	Mmofra Bisa Sɛ . . .
*	*
*	*
The Harm Done to Children	Sɛnea Epira Mmofra
[ Footnotes ]	[ Ase hɔ asɛm ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
Why ?	Dɛn ntia ?
It Began So Well	Yenyaa Mfiase Pa
Drifting Apart	Yɛn Mu a Ɛpaapae
Our family was in ruins .	Yɛn abusua no baa ɔhaw mu .
That was a big surprise .	Ɛno yɛɛ me nwonwa yiye .
What About Judith ?	Judith Nso Ɛ ?
I had met another man .	Ná mahu ɔbarima foforo .
I even quit smoking .	Migyaee sigaretnom mpo .
Their Second Wedding	Wɔn Ayeforohyia a Ɛto So Abien
The Children	Mmofra No
Our Life Today	Yɛn Asetra Nnɛ
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 20 ]	[ Kratafa 25 mfonini ]
[ Picture on page 21 ]	[ Kratafa 17 mfonini ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
The Bible’s Viewpoint	Bible no Adwene
Does God Change ?	So Onyankopɔn Sakra ?
No .	Dabi .
Unchanging in Qualities	Ɔnsakra Ne Su Horow
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN LESOTHO	KYERƐWFO A ƆWƆ LESOTHO HƆ
[ Map on page 26 ]	[ Asase mfonini wɔ kratafa 26 ]
HA KOME	HA KOME
Watching the World	Wiase Nsɛm
Professor Anatoly P .	Ɔbenfo Anatoly P .
The Height of Fashion ?	So Wɔayɛ Ama Atra So ?
Chores for Children	Fie Nnwuma a Ɛsɛ sɛ Mmofra Yɛ
Young People and Crime	Mmofra ne Nsɛmmɔnedi
Disruptive Students	Sukuufo a Wɔyɛ Basabasa
“ Mystery Virus ”	“ Ɔyare Mmoawa Soronko Bi ”
Collar of Life	Abɔkɔn a Ɛbɔ Nkwa Ho Ban
Woodworking Wasps	Akotokurodu a Wotue Nnua Mu
Unhappy Priests ?	Asɔfo a Wonni Anigye ?
Is Evolution Logical ?	So Adannandi Nkyerɛkyerɛ no Fata ?
Consider the following .	Susuw nea edi so yi ho .
Young People Ask . . .	Mmofra Bisa Sɛ . . .
Should I Live Abroad ?	So Ɛsɛ sɛ Mekɔtra Amannɔne ?
It was not . ”	Nanso amma saa . ”
Analyze Your Motives	Hwehwɛ Adwene a Wode Kɔ no Mu
Are You Ready ?	So Woasiesie Wo Ho ?
Get the Facts !	Hu Nokwasɛm a Ɛwom !
Making a Decision	Gyinae a Wubesi
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 13 ]	[ Kratafa 13 mfonini ]
[ Picture on page 14 ]	[ Kratafa 19 mfonini ]
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN FRANCE	Kyerɛwfo A Ɔwɔ France hɔ
Worse Was Yet to Come	Na Nea Eye Hu Paa Rebetu
Aftermath	Nneɛma a Ɛsɛee
“ It was astonishing .	Na ɛyɛ ahodwiriw .
Providing Needed Help	Mmoa a Ehia a Wɔde Mae
“ BLACK TIDE ”	“ ASORƆKYE SORONKO ”
[ Credit Line ]	[ Asɛm Fibea ]
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
B.I.M .	B.I.M .
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
B.I.M .	B.I.M .
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
[ Picture on page 16 ]	[ Kratafa 21 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
J . - M Colombier	J . - M Colombier
[ Credit Line ]	[ Asɛm Fibea ]
[ Credit Line ]	[ Asɛm Fibea ]
[ Picture on page 17 ]	[ Kratafa 22 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
© M .	© M .
Daniau / AFP	Daniau / AFP
[ Pictures on page 18 ]	[ Kratafa 22 mfonini ahorow ]
“ Let me see it . ”	“ Menhwɛ . ”
Acetylsalicylic acid !	Aduru a wɔde aspirin afra !
Problem solved .	Ohuu ɔhaw no ano aduru .
Why ?	Dɛn ntia ?
Enthusiasm for Aspirin	Aspirin Ho Anigye a Wɔanya
*	*
Doctors are not sure .	Nnuruyɛfo ntumi nkyerɛ .
Reasons for Caution	Nea Enti a Ɛsɛ sɛ Yɛyɛ Ahwɛyiye
[ Footnote ]	[ Ase hɔ asɛm ]
Awake !	O .
[ Credit Line ]	[ Asɛm Fibea ]
BY AWAKE !	EFI NYAN !
*	*
Freedom to Roam	Hokwan a Wotumi De Tutu Akwan
Keeping in Touch	Nkitaho a Mobɛkɔ so Adi
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 27 ]	[ Kratafa 17 mfonini ]
From Our Readers	Efi Yɛn Akenkanfo Hɔ
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
J .	J .
T . , Germany	T . , Germany
D .	D .
J . , United States	J . , United States
This issue of Awake !	Nyan !
C .	C .
J . , United States	J . , United States
was one such article .	( Tagua Adwe — Ebetumi Agye Asono ? )
D .	D .
H . , United States	H . , United States
B .	R .
H . , United States	H . , United States
J.L.A.H . , Brazil	J.L.A.H . , Brazil
B .	R .
C . , United States	C . , United States
J .	J .
A . , United States	A . , United States
Table of Contents	Emu Nsɛm
July 8 , 2000	July 8 , 2000
Is Life Too Cheap ?	So Wommu Nkwa Bio ?
What are the causes ?	Nea Edi Kan Wɔ Mali 26
Is there a solution ?	So ano aduru wɔ hɔ ?
14 A Tale of Two Rivers	14 Mmofra Bisa Sɛ . . .
23 The Lure of Santeria	22 Bible no Adwene
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
26 The Bible’s Viewpoint	26 Nsubɔnten Abien Bi Ho Nsɛm
Who Is a Minister ?	
11	11
AP Photo / Laura Rauch	AP Photo / Laura Rauch
Is Life Getting Cheaper ?	So Obu a Wɔwɔ Ma Nkwa no So Retew ?
Life is cheap indeed .	Wommu nkwa ampa .
The Sale of Arms	Akode a Wɔtɔn
The Entertainment World	Anigyede Mu
No .	Dabi .
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
What Parents Can Do	Nea Awofo Betumi Ayɛ
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 9 ]	[ Kratafa 9 mfonini ]
[ Pictures on page 10 ]	[ Kratafa 25 mfonini ahorow ]
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN JAPAN	KYERƐWFO A ƆWƆ JAPAN HƆ
Don’t worry . ”	Nhaw wo ho . ”
It is a smile .	Ɛyɛ serew .
It can be YOUR smile .	Ebetumi ayɛ serew a WOSEREW no .
What is a smile ?	Dɛn ne serew ?
Tensions were gone .	Ne haw no fii hɔ .
[ Box on page 12 ]	[ Kratafa 12 adaka ]
A Word of Caution	Kɔkɔbɔ Bi Ni
[ Picture on page 13 ]	[ Kratafa 13 mfonini ]
A Tale of Two Rivers	Nsubɔnten Abien Bi Ho Nsɛm
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN INDIA	KYERƐWFO A ƆWƆ INDIA HƆ
Their names ?	Edin bɛn na wɔde frɛ emu biara ?
The Mighty Indus	Asubɔnten Kɛse Indus
The Venerated Ganga	Ganga a Wɔsom No
[ Map ]	[ Asase mfonini ]
Tibet	Tibet
PAKISTAN	PAKISTAN
Indus	Indus
Jhelum	Jhelum
Chenab	Chenab
Sutlej	Sutlej
Harappa	Harappa
Mohenjo - Daro	Mohenjo - Daro
INDIA	INDIA
Ganga	Ganga
Yamuna	Yamuna
Brahmaputra	Brahmaputra
Allahabad	Allahabad
Varanasi	Varanasi
Patna	Patna
Calcutta	Calcutta
BANGLADESH	BANGLADESH
NEPAL	NEPAL
BHUTAN	BHUTAN
[ Credit Line ]	[ Asɛm Fibea ]
[ Pictures ]	[ Mfonini ahorow ]
Hindus bathe in the Ganga	Hindufo guare wɔ Ganga mu
[ Credit Line ]	[ Asɛm Fibea ]
The Bible’s Viewpoint	Bible no Adwene
Who Is a Minister ?	
A New Type of Minister	Ɔsomfo Adwuma Foforo Bi
Why ?	Dɛn ntia ?
He wanted to help .	Na ɔpɛ sɛ ɔboa wɔn .
The Bible’s View	Bible no Adwene
This created divisions .	Eyi de mpaapaemu bae .
magazine covers topics .	nsɛmma nhoma no de nsɛm ho amanneɛbɔ ma no ho .
Some years ago Awake !	Mfe bi a atwam no Nyan !
Table of Contents	Emu Nsɛm
July 22 , 2000	August 8 , 2000
Is it dangerous ?	So asiane wom ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
25 Young People Ask . . .	Mɛyɛ Dɛn Atumi Atra Amannɔne Yiye ?
30 From Our Readers	29 Wiase Nsɛm
31 An Amazing Emperor	31 Wɔkataa Nokware So Mfirihyia 50 — Dɛn Ntia ?
But is it ?	Na so ɛte saa ?
Why ?	Dɛn ntia ?
Are the Dead Alive ?	So Awufo Te Ase ?
Why not ?	Dɛn ntia ?
Is that true ?	So ɛyɛ ampa ?
W .	W .
Communication With Whom ?	Wɔne Henanom na Edi Nkitaho ?
What steps ?	Dɛn na ɛsɛ sɛ woyɛ ?
What did they do ?	Dɛn na wɔyɛe ?
The First Step	Nea Edi Kan
Why not ?	Dɛn ntia ?
The Second Step	Nea Ɛtɔ so Abien
What is that base ?	Dɛn ne saa fapem no ?
The result ?	Dɛn na efi mu bae ?
The Third Step	Nea Ɛtɔ so Abiɛsa
You Can Succeed	Wubetumi Adi Nkonim
[ Blurb on page 5 ]	[ Asɛm a wɔafa aka wɔ kratafa 5 ]
[ Picture on page 6 ]	[ Kratafa 6 mfonini ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
Pray intensely and often	Bɔ mpae denneennen daa
By Awake !	Efi Nyan !
correspondent in Britain	kyerɛwfo a ɔwɔ Britain hɔ
Do You Need a New Bed ?	So Wuhia Mpa Foforo ?
Is my bed too small ?	So me mpa sua dodo ?
What Makes a Good Bed ?	Mpa Bɛn na Ɛyɛ Papa ?
Choosing the Right Bed	Mpa a Ɛsɛ sɛ Wotɔ
Caring for Your Bed	Wo Mpa a Wobɛhwɛ No Yiye
[ Box on page 22 ]	[ Kratafa 28 adaka ]
Comfort and support .	Mpa a ɛso da yɛ dɛ .
Lie down on your back .	Da ayeya .
Size .	Ne kɛse .
Matching sets .	Ɛpa ne mpadua a ɛfata .
Value .	Sɛnea ɛsom bo .
Space .	Beae a wode mpa no besi .
Health problems .	Nsɛnnennen a ɛfa akwahosan ho .
Allergy sufferers .	Wɔn a wɔn ho mpɛ nneɛma bi .
Older people .	Nkwakoraa ne mmerewa .
[ Box on page 23 ]	[ Kratafa 23 adaka ]
Safety Suggestions	Nyansahyɛ a Ebetumi Abɔ Wo Ho Ban
[ Diagram on page 23 ]	[ Asɛm a Wɔahyehyɛ wɔ kratafa 19 ]
Cover , or ticking	Nnuraho anaa mpamee
Microquilting	Mpamee nketenkete
Tufting	Nea wɔde pɔtwom abobom
Interior support	Nnade a ɛhyehyɛ ɛpa mu
Foam	Foom
Continuous springs	Dade a wɔakoakoa no
Open springs	Nnade a wɔakoakoa no
Pocket springs	Nnade a wɔatoatoa
[ Credit Line ]	[ Asɛm Fibea ]
Young People Ask . . .	Mmofra Bisa Sɛ . . .
Be Determined to Adapt	Si Wo Bo sɛ Wobɛyɛ Nsakrae
‘ I’m Homesick ! ’	‘ M’ani Agyina Fie ! ’
Living With a Host Family	Bere a Wote Abusua Bi Nkyɛn
Solving Problems	Sɛnea Wubedi Nsɛnnennen Ho Dwuma
Returning Home	Bere a Woresan Akɔ Fie
[ Footnote ]	[ Ase hɔ asɛm ]
Should I Live Abroad ? ”	So Ɛsɛ sɛ Mekɔtra Amannɔne ? ”
Safety Tips	Nyansahyɛ a Ɛbɛbɔ Wo Ho Ban
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
What does this involve ?	Dɛn na eyi hwehwɛ ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN MEXICO	KYERƐWFO A ƆWƆ MEXICO HƆ
The Future of Languages	Kasa Ahorow no Daakye
[ Box on page 12 ]	[ Kratafa 12 adaka ]
The Origin of Languages	Nea Ɛyɛe a Kasa Bebree Bae
[ Picture on page 12 ]	[ Kratafa 25 mfonini ]
“ Certainly I do .	“ Yiw , ɛte saa .
[ Blurb on page 14 ]	[ Asɛm a wɔafa aka wɔ kratafa 14 ]
The Bible’s Viewpoint	Bible no Adwene
An Ancient Practice	Adeyɛ a Akyɛ
Christian Freedom	Kristofo Ahofadi
[ Footnote ]	[ Ase hɔ asɛm ]
BY AWAKE !	EFI NYAN !
Imagine the scene .	Susuw adeyɛ no ho hwɛ .
Swish , chop !	Hwim , hwim !
Swish , chop !	Hwim , hwim !
Through the Mill	Yɛtoa so Kɔ Beae a Wɔtwe Mu Nsu No
[ Box on page 22 ]	[ Kratafa 28 adaka ]
Is It Beet or Cane ?	So Ɛyɛ Beet Anaa Ahwerew ?
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN GREECE	KYERƐWFO A ƆWƆ GREECE HƆ
*	*
Patmos Today	Sɛnea Patmo Te Nnɛ
Through Tempestuous Times	Sakasakayɛ Mmere Mu
A mere coincidence ?	So eyinom nni abusuabɔ biara ?
Island Sights	Nneɛma a Wohu Wɔ Supɔw no So
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 27 ]	[ Kratafa 17 mfonini ]
© Miranda 2000	© Miranda 2000
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Why ?	Dɛn ntia ?
There was yet more .	Adanse pii da so wɔ hɔ .
Table of Contents	Emu Nsɛm
August 22 , 2000	September 8 , 2000
20 A Matter of Conscience	20 Olimpik Nnyinasode Ho Aba Asɛm
28 Watching the World	26 Ɛnanom a AIDS Ayɛ Wɔn no Wɔ Nsɛnnennen
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
30 From Our Readers	29 Wiase Nsɛm
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
25	16
[ Picture on page 2 ]	[ Kratafa 2 mfonini ]
How many ?	Wɔn dodow yɛ ahe ?
The Infinitesimally Small	Ade a Esua Koraa
Even Tinier Objects	Nneɛma a Esusua Sen Saa Mpo
[ Pictures on page 3 ]	[ Mfonini ahorow wɔ kratafa 3 ]
[ Credit Line ]	[ Asɛm Fibea ]
The Wonder of Water	Sɛnea Nsu Yɛ Nwonwa
Isn’t that remarkable ?	So ɛno nyɛ nwonwa ?
Years ago , Kirtley F .	Mfe bi a atwam no , Kirtley F .
[ Footnote ]	[ Ase hɔ asɛm ]
[ Credit Line ]	[ Asɛm Fibea ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
[ Pictures on page 9 ]	[ Kratafa 9 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
Think about that .	Susuw ɛno ho hwɛ .
Learning From Creation	Adebɔ a Yebesua Biribi Afi Mu
James H .	Oduruyɛfo James H .
Where can we find it ?	Ɛhe na yebetumi anya saa mmuae no ?
[ Pictures on page 10 ]	[ Kratafa 25 mfonini ahorow ]
Young People Ask . . .	Mmofra Bisa Sɛ . . .
God’s View	Onyankopɔn Adwene
What Do I Say ?	Menka Dɛn ?
Let your no mean no !	Ma wo dabi nyɛ dabi !
A firm ‘ Cut it out ! ’	Ka a wobɛka no pen sɛ , ‘ Gyae nea woreyɛ no ! ’
may do the job .	bɛma wɔate ase .
Preventing Harassment	Ahoguan a Wobɛkwati
If You Are Harassed	Sɛ Woguan Wo Ho A
*	*
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN FRANCE	Kyerɛwfo A Ɔwɔ France hɔ
Why so much violence ?	Dɛn nti na basabasayɛ abu so saa ?
observes .	hɔ da no adi no .
AS TOLD BY GUSTAVO SISSON	SƐNEA GUSTAVO SISSON KA KYERƐE
Were they compatible ?	So na abirabɔ nnim ?
Making Choices	Me Gyinaesi Ahorow
The HLC offered to help .	Ayaresabea Ntam Nkitahodi Boayikuw kae sɛ wɔbɛboa .
Caring for Our Family	Yɛn Abusua a Yɛbɛhwɛ Wɔn
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
Operating on a patient	Mereyɛ ɔyarefo bi oprehyɛn
[ Pictures on page 15 ]	[ Kratafa 15 mfonini ]
From Olympia to Sydney	Efi Olympia Kɔ Sydney
A Brief History	Ɛho Abakɔsɛm Tiawa
Scala / Art Resource , NY	Scala / Art Resource , NY
Olympic Ideals in Crisis	Olimpik Nnyinasode Ho Aba Asɛm
Why is this so ?	Dɛn nti na ɛte saa ?
The Olympics and Drugs	Olimpik ne Nnubɔne
Others use stimulants .	Afoforo de nnuru a ɛma nipadua no nkwaa yɛ adwuma ntɛmntɛm di dwuma .
What about testing ?	Na nhwehwɛmu a wɔyɛ na wɔahu nnubɔne a wɔde di dwuma no nso ɛ ?
Bribery and Corruption	Adanmude ne Sikadi
High - Powered Marketing	Aguadi Kɛse
What Went Wrong ?	Dɛn na Ɛtotoe ?
FACTS ABOUT THE OLYMPICS	OLIMPIK HO NOKWASƐM
[ Credit Line ]	[ Asɛm Fibea ]
AP Photo / Eric Draper	AP Photo / Eric Draper
SYDNEY’S OLYMPIC SITE	SYDNEY OLIMPIK AGUMADIBEA
[ Picture on page 4 ]	[ Kratafa 18 mfonini ]
Baron Pierre de Coubertin	Baron Pierre de Coubertin
[ Credit Line ]	[ Asɛm Fibea ]
Culver Pictures	Culver Pictures
AP Photo / ACOG , HO	AP Photo / ACOG , HO
Attaining the Ideals	Nnyinasode no Ho a Wobedu
No !	Dabi !
[ Pictures on page 8 ]	[ Kratafa 8 mfonini ahorow ]
[ Credit Line ]	[ Asɛm Fibea ]
[ Pictures on page 9 ]	[ Kratafa 9 mfonini ]
The Bible promotes peace	Bible de asomdwoe ba
The Bible’s Viewpoint	Bible no Adwene
In what way ?	Ɔkwan bɛn so ?
How ?	Ɔkwan bɛn so na ɛte saa ?
Meditating Today	Nneɛma Ho a Yebedwennwen Nnɛ
[ Picture on page 20 ]	[ Kratafa 25 mfonini ]
Earthquake !	Asasewosow !
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN TAIWAN	KYERƐWFO A ƆWƆ TAIWAN HƆ
EARTHQUAKE .	ASASEWOSOW .
Rescue Efforts	Mmoa a Wɔde Mae
But then it stopped . ”	Nanso afei ogyaee su . ”
Facing the Aftermath	Sɛnea Wodii Ɔhaw a Efi Mu Bae no Ho Dwuma
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 27 ]	[ Kratafa 17 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Young People Ask . . .	Mmofra Bisa Sɛ . . .
Why Am I So Thin ?	Dɛn Nti na Meyɛ Teatea Saa ?
What about boys ?	Mmarimaa nso ɛ ?
And men ?	Mmarima nso ɛ ?
Why You Are Thin	Nea Enti a Woyɛ Teaa
*	*
Practical Suggestions	Nyansahyɛ a Mfaso Wɔ So
Now what ?	Afei dɛn na wobɛyɛ ?
According to the U.S .	Sɛnea U.S .
[ Footnotes ]	[ Ase hɔ asɛm ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
[ Picture on page 14 ]	[ Kratafa 19 mfonini ]
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN KENYA	KYERƐWFO A ƆWƆ KENYA HƆ
We could barely breathe .	Na yenhu nea yɛnyɛ .
Swift and Graceful	Wɔn Ho Yɛ Hare Ne Anika
Standing Tall	Ɔware Paa
A Marvel of Design	Wɔyɛɛ No Anwonwakwan So
Family Life	Wɔn Asetra
[ Footnote ]	[ Ase hɔ asɛm ]
A LONG - NECKED MIRACLE	KƆN TENTEN A ƐYƐ NWONWA NO
Why not ?	Dɛn ntia ?
Do you see that gun ? ”	So wuhu saa otuo no ?
Grilled by the Gestapo	Gestaponi Bi Bisabisaa Me Nsɛm
This is what occurred .	Nea ɛbae ni .
“ Stop ! ” he bellowed .	Ɔteɛɛm sɛ : “ Gyina hɔ ! ”
“ Stop !	Ɔteɛɛm kae sɛ : “ Ɔkorɔmfo !
Thief ! ”	Gyina hɔ ! ”
Rutherford ! ”	Rutherford ! ”
The name of Joseph F .	Na Joseph F .
The World Scene Changes	Wiase Tebea Sakrae
Prison Camp in Russia	Nneduaban Mu Wɔ Russia
18 .	Bere a yedii asram asia wɔ Sukhobezvodnoje no , wɔde me kɔɔ Nsraban a Ɛto so 18 mu .
These were our meetings .	Ná eyi ne yɛn nhyiam .
Back to Ukraine	Yɛkɔ Ukraine Bio
But so were the rewards .	Nanso na mfaso pii nso wɔ so .
He wanted to know more .	Ná ɔpɛ sɛ ohu pii .
So I visited him again .	Enti mekɔsraa no bio .
*	*
Difficult Tests of Faith	Gyidi Ho Sɔhwɛ a Emu Yɛ Den
[ Footnote ]	[ Ase hɔ asɛm ]
[ Blurb on page 21 ]	[ Asɛm a wɔafa aka wɔ kratafa 28 ]
But I would not tell them	
[ Blurb on page 22 ]	[ Asɛm a wɔafa aka wɔ kratafa 20 ]
[ Picture on page 20 ]	[ Kratafa 25 mfonini ]
Fenia and me in 1952	Me ne Fenia wɔ 1952 mu
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
With Fenia today	Me ne Fenia nnɛ
Table of Contents	Emu Nsɛm
October 8 , 2000	October 8 , 2000
How did they originate ?	Ɛyɛɛ dɛn na eyinom nyinaa bae ?
16 The Pyramids of Mexico	19 Gyidi a Minyae Wɔ Katabaako Nniso Ase
18	24
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
25	16
And is it gambling ?	Dɛn na Bible ka fa ho ?
[ Picture on cover ]	[ Mfonini wɔ akyi ]
[ Credit Line ]	[ Asɛm Fibea ]
[ Picture on page 2 ]	[ Kratafa 2 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
What do you believe ?	Dɛn na wugye di ?
Consider the galaxies .	Susuw nsorommakuw no ho hwɛ .
[ Picture on page 3 ]	[ Kratafa 3 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
[ Pictures on page 4 ]	[ Mfonini ahorow wɔ kratafa 4 ]
[ Credit Lines ]	[ Asɛm Fibea ]
Dr .	Dr .
Photo courtesy of N .	Photo courtesy of N .
C .	C .
Wickramasinghe	Wickramasinghe
Elements 1 to 92	Element 1 Kosi 92
[ Box on page 6 ]	[ Kratafa 6 adaka ]
VITAL ELEMENTS	NNEƐMA A ƐHO HIA NO
[ Credit Line ]	[ Asɛm Fibea ]
hydrogen H 1	hydrogen H 1
helium He 2	helium He 2
lithium Li 3	lithium Li 3
beryllium Be 4	beryllium Be 4
boron B 5	boron B 5
carbon C 6	carbon C 6
nitrogen N 7	nitrogen N 7
oxygen O 8	oxygen O 8
fluorine F 9	fluorine F 9
neon Ne 10	neon Ne 10
sodium Na 11	sodium Na 11
magnesium Mg 12	magnesium Mg 12
aluminum Al 13	aluminum Al 13
silicon Si 14	silicon Si 14
phosphorus P 15	phosphorus P 15
sulfur S 16	sulfur S 16
chlorine Cl 17	chlorine Cl 17
argon Ar 18	argon Ar 18
potassium K 19	potassium K 19
calcium Ca 20	calcium Ca 20
scandium Sc 21	scandium Sc 21
titanium Ti 22	titanium Ti 22
vanadium V 23	vanadium V 23
chromium Cr 24	chromium Cr 24
manganese Mn 25	manganese Mn 25
iron Fe 26	iron Fe 26
cobalt Co 27	cobalt Co 27
nickel Ni 28	nickel Ni 28
copper Cu 29	copper Cu 29
zinc Zn 30	zinc Zn 30
gallium Ga 31	gallium Ga 31
germanium Ge 32	germanium Ge 32
arsenic As 33	arsenic As 33
selenium Se 34	selenium Se 34
bromine Br 35	bromine Br 35
krypton Kr 36	krypton Kr 36
rubidium Rb 37	rubidium Rb 37
strontium Sr 38	strontium Sr 38
yttrium Y 39	yttrium Y 39
zirconium Zr 40	zirconium Zr 40
niobium Nb 41	niobium Nb 41
molybdenum Mo 42	molybdenum Mo 42
technetium Tc 43	technetium Tc 43
ruthenium Ru 44	ruthenium Ru 44
rhodium Rh 45	rhodium Rh 45
palladium Pd 46	palladium Pd 46
silver Ag 47	silver Ag 47
cadmium Cd 48	cadmium Cd 48
indium In 49	indium In 49
tin Sn 50	tin Sn 50
antimony Sb 51	antimony Sb 51
tellurium Te 52	tellurium Te 52
iodine I 53	iodine I 53
xenon Xe 54	xenon Xe 54
cesium Cs 55	cesium Cs 55
barium Ba 56	barium Ba 56
lanthanum La 57	lanthanum La 57
cerium Ce 58	cerium Ce 58
praseodymium Pr 59	praseodymium Pr 59
neodymium Nd 60	neodymium Nd 60
promethium Pm 61	promethium Pm 61
samarium Sm 62	samarium Sm 62
europium Eu 63	europium Eu 63
gadolinium Gd 64	gadolinium Gd 64
terbium Tb 65	terbium Tb 65
dysprosium Dy 66	dysprosium Dy 66
holmium Ho 67	holmium Ho 67
erbium Er 68	erbium Er 68
thulium Tm 69	thulium Tm 69
ytterbium Yb 70	ytterbium Yb 70
lutetium Lu 71	lutetium Lu 71
hafnium Hf 72	hafnium Hf 72
tantalum Ta 73	tantalum Ta 73
tungsten W 74	tungsten W 74
rhenium Re 75	rhenium Re 75
osmium Os 76	osmium Os 76
iridium Ir 77	iridium Ir 77
platinum Pt 78	platinum Pt 78
gold Au 79	gold Au 79
mercury Hg 80	mercury Hg 80
thallium Tl 81	thallium Tl 81
lead Pb 82	lead Pb 82
bismuth Bi 83	bismuth Bi 83
polonium Po 84	polonium Po 84
